name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_d_pr[4,6]	0.564	0.0165	0.538	-0.538	0.565	1.59	1064.0	0.0758	1.01
theta_d_pr[4,7]	0.789	0.0147	0.613	-0.473	0.793	1.93	1734.0	0.123	1.0
theta_d_pr[4,8]	0.114	0.0285	0.516	-0.926	0.131	1.09	328.0	0.0234	1.01
theta_d_pr[4,9]	0.592	0.014	0.57	-0.557	0.587	1.64	1667.0	0.119	1.0
theta_d_pr[4,10]	-0.268	0.00767	0.48	-1.26	-0.271	0.632	3911.0	0.278	1.0
theta_d_pr[4,11]	1.61	0.0114	0.59	0.408	1.61	2.77	2663.0	0.19	1.0
theta_d_pr[4,12]	-0.0163	0.0102	0.485	-0.965	-0.0347	0.913	2260.0	0.161	1.0
theta_d_pr[4,13]	1.47	0.0129	0.666	0.0934	1.46	2.72	2650.0	0.189	1.0
theta_d_pr[4,14]	-0.254	0.00851	0.486	-1.3	-0.236	0.623	3270.0	0.233	1.0
theta_d_pr[4,15]	-0.612	0.00648	0.435	-1.5	-0.613	0.228	4493.0	0.32	1.0
theta_d_pr[4,16]	-0.477	0.00741	0.474	-1.41	-0.491	0.452	4093.0	0.291	1.0
theta_d_pr[4,17]	-0.892	0.00754	0.419	-1.73	-0.908	-0.0934	3093.0	0.22	1.0
theta_d_pr[4,18]	-1.21	0.011	0.545	-2.33	-1.21	-0.148	2469.0	0.176	1.0
theta_d_pr[4,19]	-1.2	0.0095	0.56	-2.44	-1.18	-0.167	3472.0	0.247	1.0
theta_d_pr[4,20]	0.0663	0.0186	0.538	-0.956	0.0477	1.12	836.0	0.0595	1.0
theta_d_pr[4,21]	0.597	0.0125	0.614	-0.569	0.559	1.83	2409.0	0.171	1.0
theta_d_pr[4,22]	0.143	0.00786	0.479	-0.835	0.143	1.03	3719.0	0.265	1.0
